Manufacturer,Name,Edge Type,Thickness (mm),Width (mm),Length (mm),Weight (kg/sqm),NRC,alpha w,Fire Rating,STC,Rw,IIC,Top Cross Rails Capacity (N),Top Cross Rails Weight (kg/m),Top Cross Rails Spacing (mm),Furring Channel Capacity (N),Furring Channel Weight (kg/m),Furring Channel Spacing (mm),Perimeter Restraint,Perimeter Restraint Capacity (N)
GIB,Fyreline GBSC 30,TE/TE,13,1200,2400,11,,,30/30/30,48,47,43,950,0.378,1200,650,0.468,600,FC140-142,1300
GIB,Fyreline GBSC 30,TE/TE,13,1200,2700,11,,,30/30/30,48,47,43,950,0.378,1200,650,0.468,600,FC140-143,1301
GIB,Fyreline GBSC 30,TE/TE,13,1200,3000,11,,,30/30/30,48,47,43,950,0.378,1200,650,0.468,600,FC140-144,1302
GIB,Fyreline GBSC 30,TE/TE,13,1200,3300,11,,,30/30/30,48,47,43,950,0.378,1200,650,0.468,600,FC140-145,1303
GIB,Fyreline GBSC 30,TE/TE,13,1200,3600,11,,,30/30/30,48,47,43,950,0.378,1200,650,0.468,600,FC140-146,1304
GIB,Fyreline GBSC 60a,TE/TE,13/13,1200,2400,22,,,60/60/60,53,52,43,950,0.378,1200,650,0.468,600,FC140-147,1305
GIB,Fyreline GBSC 60a,TE/TE,13/13,1200,2700,22,,,60/60/60,53,52,43,950,0.378,1200,650,0.468,600,FC140-148,1306
GIB,Fyreline GBSC 60a,TE/TE,13/13,1200,3000,22,,,60/60/60,53,52,43,950,0.378,1200,650,0.468,600,FC140-149,1307
GIB,Fyreline GBSC 60a,TE/TE,13/13,1200,3300,22,,,60/60/60,53,52,43,950,0.378,1200,650,0.468,600,FC140-150,1308
GIB,Fyreline GBSC 60a,TE/TE,13/13,1200,3600,22,,,60/60/60,53,52,43,950,0.378,1200,650,0.468,600,FC140-151,1309
GIB,Fyreline GBSC 60b,TE/TE,16,1200,2400,15.3,,,60/60/60,50,49,43,950,0.378,1200,650,0.468,600,FC140-152,1310
GIB,Fyreline GBSC 60b,TE/TE,16,1200,2700,15.3,,,60/60/60,50,49,43,950,0.378,1200,650,0.468,600,FC140-153,1311
GIB,Fyreline GBSC 60b,TE/TE,16,1200,3000,15.3,,,60/60/60,50,49,43,950,0.378,1200,650,0.468,600,FC140-154,1312
GIB,Fyreline GBSC 90,TE/TE,13/16,1200,2400,26.3,,,90/90/90,53,52,43,950,0.378,1200,650,0.468,600,FC140-155,1313
GIB,Fyreline GBSC 90,TE/TE,13/16,1200,2700,26.3,,,90/90/90,53,52,43,950,0.378,1200,650,0.468,600,FC140-156,1314
GIB,Fyreline GBSC 90,TE/TE,13/16,1200,3000,26.3,,,90/90/90,53,52,43,950,0.378,1200,650,0.468,600,FC140-157,1315
